Sample	CEU	PUR	YRI
Sample_1	0.382457	0.000000	0.617543
Sample_10	0.223435	0.028170	0.748394
Sample_100	0.232204	0.000000	0.767796
Sample_11	0.460810	0.057133	0.482056
Sample_12	0.461988	0.000000	0.538012
Sample_13	0.345468	0.000000	0.654532
Sample_14	0.474626	0.000000	0.525374
Sample_15	0.278442	0.000000	0.721558
Sample_16	0.391663	0.000000	0.608337
Sample_17	0.364003	0.000000	0.635997
Sample_18	0.168312	0.000000	0.831688
Sample_19	0.208410	0.000000	0.791590
Sample_2	0.361528	0.068224	0.570248
Sample_20	0.398730	0.000000	0.601270
Sample_21	0.243601	0.000000	0.756399
Sample_22	0.189049	0.000000	0.810951
Sample_23	0.618348	0.000000	0.381652
Sample_24	0.486454	0.000000	0.513546
Sample_25	0.804488	0.000000	0.195512
Sample_26	0.030874	0.000000	0.969126
Sample_27	0.378592	0.000000	0.621408
Sample_28	0.365517	0.011736	0.622747
Sample_29	0.492872	0.000000	0.507128
Sample_3	0.017419	0.000000	0.982581
Sample_30	0.060291	0.000000	0.939709
Sample_31	0.523300	0.000000	0.476700
Sample_32	0.204487	0.000000	0.795513
Sample_33	0.321364	0.000000	0.678636
Sample_34	0.233705	0.000000	0.766295
Sample_35	0.338348	0.000000	0.661652
Sample_36	0.223693	0.000000	0.776307
Sample_37	0.282524	0.000000	0.717476
Sample_38	0.400315	0.017933	0.581753
Sample_39	0.457679	0.000000	0.542321
Sample_4	0.062606	0.029459	0.907935
Sample_40	0.317009	0.000000	0.682991
Sample_41	0.729885	0.000000	0.270115
Sample_42	0.314585	0.000000	0.685415
Sample_43	0.277908	0.000000	0.722092
Sample_44	0.742687	0.006666	0.250647
Sample_45	0.403702	0.048888	0.547411
Sample_46	0.316367	0.082061	0.601572
Sample_47	0.276478	0.000000	0.723522
Sample_48	0.666078	0.000000	0.333922
Sample_49	0.149363	0.000000	0.850637
Sample_5	0.531043	0.019656	0.449301
Sample_50	0.440875	0.030155	0.528970
Sample_51	0.305941	0.000000	0.694059
Sample_52	0.361987	0.000000	0.638013
Sample_53	0.226653	0.000000	0.773347
Sample_54	0.413049	0.000000	0.586951
Sample_55	0.184846	0.000000	0.815154
Sample_56	0.198206	0.044127	0.757667
Sample_57	0.293231	0.000000	0.706769
Sample_58	0.271697	0.123716	0.604587
Sample_59	0.376348	0.000000	0.623652
Sample_6	0.166646	0.000000	0.833354
Sample_60	0.396476	0.253461	0.350063
Sample_61	0.281360	0.005529	0.713111
Sample_62	0.092740	0.000000	0.907260
Sample_63	0.196298	0.000000	0.803702
Sample_64	0.554849	0.000000	0.445151
Sample_65	0.122346	0.000000	0.877654
Sample_66	0.076166	0.000000	0.923834
Sample_67	0.435282	0.000000	0.564718
Sample_68	0.147045	0.000000	0.852955
Sample_69	0.266751	0.000000	0.733249
Sample_7	0.444043	0.000000	0.555957
Sample_70	0.424646	0.125940	0.449414
Sample_71	0.353558	0.000000	0.646442
Sample_72	0.584571	0.000000	0.415429
Sample_73	0.411524	0.003281	0.585195
Sample_74	0.475463	0.085951	0.438586
Sample_75	0.156463	0.000000	0.843537
Sample_76	0.351348	0.000000	0.648652
Sample_77	0.336660	0.000000	0.663340
Sample_78	0.441886	0.000000	0.558114
Sample_79	0.171418	0.000000	0.828582
Sample_8	0.180874	0.007684	0.811442
Sample_80	0.522055	0.000000	0.477945
Sample_81	0.406197	0.000000	0.593803
Sample_82	0.310988	0.000000	0.689012
Sample_83	0.059548	0.000000	0.940452
Sample_84	0.533273	0.000000	0.466727
Sample_85	0.435326	0.000000	0.564674
Sample_86	0.268674	0.000000	0.731326
Sample_87	0.564397	0.000000	0.435603
Sample_88	0.288209	0.000000	0.711791
Sample_89	0.312769	0.078492	0.608739
Sample_9	0.293535	0.000000	0.706465
Sample_90	0.388025	0.000000	0.611975
Sample_91	0.329478	0.000000	0.670522
Sample_92	0.348189	0.000000	0.651811
Sample_93	0.325695	0.000000	0.674305
Sample_94	0.220267	0.000000	0.779733
Sample_95	0.326700	0.000000	0.673300
Sample_96	0.692679	0.000000	0.307321
Sample_97	0.492228	0.024400	0.483371
Sample_98	0.485613	0.000000	0.514387
Sample_99	0.204733	0.000000	0.795267
