Sample	CEU	YRI
Sample_1	0.000000	1.000000
Sample_10	0.302231	0.697769
Sample_100	0.000000	1.000000
Sample_101	0.209035	0.790965
Sample_102	0.028860	0.971140
Sample_103	0.365271	0.634729
Sample_104	0.431296	0.568704
Sample_105	0.006135	0.993865
Sample_106	0.390985	0.609015
Sample_107	0.054931	0.945069
Sample_108	0.130937	0.869063
Sample_109	0.651360	0.348640
Sample_11	0.000000	1.000000
Sample_110	0.000000	1.000000
Sample_111	0.224563	0.775437
Sample_112	0.000000	1.000000
Sample_113	0.267188	0.732812
Sample_114	0.313773	0.686227
Sample_115	0.046126	0.953874
Sample_116	0.000000	1.000000
Sample_117	0.421617	0.578383
Sample_118	0.000000	1.000000
Sample_119	0.000000	1.000000
Sample_12	0.000000	1.000000
Sample_120	0.351980	0.648020
Sample_121	0.000000	1.000000
Sample_122	0.153334	0.846666
Sample_123	0.072734	0.927266
Sample_124	0.091618	0.908382
Sample_125	0.799495	0.200505
Sample_126	0.474073	0.525927
Sample_127	0.051739	0.948261
Sample_128	0.181071	0.818929
Sample_129	0.000000	1.000000
Sample_13	0.142058	0.857942
Sample_130	0.000000	1.000000
Sample_131	0.143759	0.856241
Sample_132	0.000000	1.000000
Sample_133	0.112452	0.887548
Sample_134	0.000000	1.000000
Sample_135	0.274589	0.725411
Sample_136	0.506201	0.493799
Sample_137	0.137641	0.862359
Sample_138	0.238900	0.761100
Sample_139	0.320237	0.679763
Sample_14	0.058778	0.941222
Sample_140	0.232584	0.767416
Sample_141	0.456624	0.543376
Sample_142	0.275058	0.724942
Sample_143	0.121488	0.878512
Sample_144	0.124846	0.875154
Sample_145	0.000000	1.000000
Sample_146	0.000000	1.000000
Sample_147	0.066449	0.933551
Sample_148	0.000000	1.000000
Sample_149	0.055867	0.944133
Sample_15	0.118982	0.881018
Sample_150	0.000000	1.000000
Sample_151	0.000000	1.000000
Sample_152	0.000000	1.000000
Sample_153	0.000000	1.000000
Sample_154	0.164033	0.835967
Sample_155	0.184508	0.815492
Sample_156	0.487225	0.512775
Sample_157	0.301142	0.698858
Sample_158	0.283262	0.716738
Sample_159	0.000000	1.000000
Sample_16	0.000000	1.000000
Sample_160	0.000000	1.000000
Sample_161	0.094061	0.905939
Sample_162	0.442489	0.557511
Sample_163	0.500000	0.500000
Sample_164	0.417170	0.582830
Sample_165	0.187161	0.812839
Sample_166	0.368305	0.631695
Sample_167	0.184474	0.815526
Sample_168	0.135392	0.864608
Sample_169	0.000000	1.000000
Sample_17	0.149117	0.850883
Sample_170	0.178889	0.821111
Sample_171	0.000000	1.000000
Sample_172	0.134023	0.865977
Sample_173	0.000000	1.000000
Sample_174	0.240736	0.759264
Sample_175	0.079851	0.920149
Sample_176	0.067891	0.932109
Sample_177	0.483217	0.516783
Sample_178	0.266042	0.733958
Sample_179	0.000000	1.000000
Sample_18	0.472142	0.527858
Sample_180	0.075832	0.924168
Sample_181	0.604826	0.395174
Sample_182	0.000000	1.000000
Sample_183	0.201995	0.798005
Sample_184	0.495353	0.504647
Sample_185	0.187736	0.812264
Sample_186	0.000000	1.000000
Sample_187	0.000000	1.000000
Sample_188	0.000000	1.000000
Sample_189	0.017457	0.982543
Sample_19	0.246113	0.753887
Sample_190	0.248095	0.751905
Sample_191	0.500000	0.500000
Sample_192	0.225994	0.774006
Sample_193	0.070349	0.929651
Sample_194	0.147691	0.852309
Sample_195	0.004095	0.995905
Sample_196	0.140205	0.859795
Sample_197	0.321822	0.678178
Sample_198	0.474892	0.525108
Sample_199	0.000000	1.000000
Sample_2	0.170278	0.829722
Sample_20	0.500000	0.500000
Sample_200	0.097239	0.902761
Sample_201	0.000000	1.000000
Sample_202	0.070349	0.929651
Sample_203	0.000000	1.000000
Sample_204	0.330892	0.669108
Sample_205	0.207531	0.792469
Sample_206	0.000000	1.000000
Sample_207	0.000000	1.000000
Sample_208	0.019698	0.980302
Sample_209	0.346070	0.653930
Sample_21	0.000000	1.000000
Sample_210	0.440699	0.559301
Sample_211	0.464143	0.535857
Sample_212	0.274707	0.725293
Sample_213	0.000000	1.000000
Sample_214	0.000000	1.000000
Sample_215	0.338174	0.661826
Sample_216	0.457212	0.542788
Sample_217	0.092126	0.907874
Sample_218	0.400829	0.599171
Sample_219	0.328326	0.671674
Sample_22	0.000000	1.000000
Sample_220	0.000000	1.000000
Sample_221	0.108847	0.891153
Sample_222	0.319267	0.680733
Sample_223	0.243514	0.756486
Sample_224	0.000000	1.000000
Sample_225	0.914570	0.085430
Sample_226	0.080608	0.919392
Sample_227	0.007081	0.992919
Sample_228	0.348687	0.651313
Sample_229	0.071909	0.928091
Sample_23	0.058778	0.941222
Sample_230	0.092474	0.907526
Sample_231	0.306026	0.693974
Sample_232	0.360278	0.639722
Sample_233	0.040038	0.959962
Sample_234	0.148617	0.851383
Sample_235	0.167099	0.832901
Sample_236	0.614509	0.385491
Sample_237	0.457612	0.542388
Sample_238	0.098007	0.901993
Sample_239	0.047625	0.952375
Sample_24	0.379779	0.620221
Sample_240	0.070318	0.929682
Sample_241	0.000000	1.000000
Sample_242	0.489510	0.510490
Sample_243	0.258782	0.741218
Sample_244	0.500000	0.500000
Sample_245	0.298716	0.701284
Sample_246	0.564660	0.435340
Sample_247	0.229306	0.770694
Sample_248	0.123920	0.876080
Sample_249	0.000000	1.000000
Sample_25	0.000000	1.000000
Sample_250	0.291615	0.708385
Sample_251	0.302181	0.697819
Sample_252	0.304234	0.695766
Sample_253	0.533522	0.466478
Sample_254	0.000000	1.000000
Sample_255	0.115235	0.884765
Sample_256	0.299969	0.700031
Sample_257	0.379779	0.620221
Sample_258	0.000000	1.000000
Sample_259	0.203105	0.796895
Sample_26	0.000000	1.000000
Sample_260	0.349074	0.650926
Sample_261	0.360288	0.639712
Sample_262	0.189600	0.810400
Sample_263	0.428453	0.571547
Sample_264	0.287340	0.712660
Sample_265	0.176904	0.823096
Sample_266	0.059388	0.940612
Sample_267	0.000000	1.000000
Sample_268	0.000000	1.000000
Sample_269	0.212188	0.787812
Sample_27	0.000000	1.000000
Sample_270	0.070258	0.929742
Sample_271	0.000000	1.000000
Sample_272	0.000000	1.000000
Sample_273	0.055707	0.944293
Sample_274	0.410020	0.589980
Sample_275	0.000000	1.000000
Sample_276	0.095276	0.904724
Sample_277	0.000000	1.000000
Sample_278	0.381901	0.618099
Sample_279	0.372506	0.627494
Sample_28	0.132451	0.867549
Sample_280	0.000000	1.000000
Sample_281	0.000000	1.000000
Sample_282	0.001014	0.998986
Sample_283	0.452320	0.547680
Sample_284	0.000000	1.000000
Sample_285	0.254557	0.745443
Sample_286	0.003630	0.996370
Sample_287	0.185074	0.814926
Sample_288	0.487101	0.512899
Sample_289	0.072726	0.927274
Sample_29	0.456624	0.543376
Sample_290	0.234822	0.765178
Sample_291	0.472655	0.527345
Sample_292	0.021194	0.978806
Sample_293	0.040226	0.959774
Sample_294	0.346378	0.653622
Sample_295	0.065002	0.934998
Sample_296	0.000000	1.000000
Sample_297	0.084292	0.915708
Sample_298	0.494186	0.505814
Sample_299	0.000000	1.000000
Sample_3	0.140969	0.859031
Sample_30	0.000000	1.000000
Sample_300	0.295919	0.704081
Sample_301	0.592126	0.407874
Sample_302	0.023850	0.976150
Sample_303	0.168910	0.831090
Sample_304	0.114803	0.885197
Sample_305	0.000000	1.000000
Sample_306	0.176337	0.823663
Sample_307	0.070326	0.929674
Sample_308	0.221805	0.778195
Sample_309	0.197084	0.802916
Sample_31	0.000000	1.000000
Sample_310	0.114454	0.885546
Sample_311	0.000000	1.000000
Sample_312	0.000000	1.000000
Sample_313	0.000000	1.000000
Sample_314	0.383396	0.616604
Sample_315	0.217533	0.782467
Sample_316	0.000000	1.000000
Sample_317	0.443498	0.556502
Sample_318	0.277717	0.722283
Sample_319	0.209005	0.790995
Sample_32	0.478089	0.521911
Sample_320	0.457880	0.542120
Sample_321	0.149366	0.850634
Sample_322	0.377473	0.622527
Sample_323	0.621634	0.378366
Sample_324	0.631752	0.368248
Sample_325	0.201062	0.798938
Sample_326	0.000000	1.000000
Sample_327	0.301142	0.698858
Sample_328	0.435231	0.564769
Sample_329	0.115871	0.884129
Sample_33	0.650839	0.349161
Sample_330	0.332583	0.667417
Sample_331	0.089617	0.910383
Sample_332	0.381083	0.618917
Sample_333	0.000000	1.000000
Sample_334	0.177334	0.822666
Sample_335	0.019291	0.980709
Sample_336	0.215286	0.784714
Sample_337	0.151377	0.848623
Sample_338	0.075473	0.924527
Sample_339	0.195243	0.804757
Sample_34	0.487966	0.512034
Sample_340	0.208184	0.791816
Sample_341	0.271438	0.728562
Sample_342	0.150793	0.849207
Sample_343	0.099772	0.900228
