Sample	CEU	YRI
Sample_1	0.217449	0.782551
Sample_10	0.213353	0.786647
Sample_100	0.181082	0.818918
Sample_101	0.226196	0.773804
Sample_102	0.209427	0.790573
Sample_103	0.202405	0.797595
Sample_104	0.223157	0.776843
Sample_105	0.256714	0.743286
Sample_106	0.177824	0.822176
Sample_107	0.244589	0.755411
Sample_108	0.217840	0.782160
Sample_109	0.249380	0.750620
Sample_11	0.206538	0.793462
Sample_110	0.216641	0.783359
Sample_111	0.198479	0.801521
Sample_112	0.148387	0.851613
Sample_113	0.169425	0.830575
Sample_114	0.214755	0.785245
Sample_115	0.149110	0.850890
Sample_116	0.231008	0.768992
Sample_117	0.232888	0.767112
Sample_118	0.281484	0.718516
Sample_119	0.225778	0.774222
Sample_12	0.214836	0.785164
Sample_120	0.207194	0.792806
Sample_121	0.163425	0.836575
Sample_122	0.164342	0.835658
Sample_123	0.206175	0.793825
Sample_124	0.195415	0.804585
Sample_125	0.231069	0.768931
Sample_126	0.238494	0.761506
Sample_127	0.185149	0.814851
Sample_128	0.253087	0.746913
Sample_129	0.219533	0.780467
Sample_13	0.227955	0.772045
Sample_130	0.153682	0.846318
Sample_131	0.238992	0.761008
Sample_132	0.195922	0.804078
Sample_133	0.299090	0.700910
Sample_134	0.202130	0.797870
Sample_135	0.157002	0.842998
Sample_136	0.217985	0.782015
Sample_137	0.234118	0.765882
Sample_138	0.248190	0.751810
Sample_139	0.210055	0.789945
Sample_14	0.214865	0.785135
Sample_140	0.171945	0.828055
Sample_141	0.225123	0.774877
Sample_142	0.213662	0.786338
Sample_143	0.185377	0.814623
Sample_144	0.246789	0.753211
Sample_145	0.182713	0.817287
Sample_146	0.224151	0.775849
Sample_147	0.183024	0.816976
Sample_148	0.140177	0.859823
Sample_149	0.196554	0.803446
Sample_15	0.213566	0.786434
Sample_150	0.174604	0.825396
Sample_151	0.215832	0.784168
Sample_152	0.195826	0.804174
Sample_153	0.148639	0.851361
Sample_154	0.130966	0.869034
Sample_155	0.228683	0.771317
Sample_156	0.193977	0.806023
Sample_157	0.152066	0.847934
Sample_158	0.221979	0.778021
Sample_159	0.121561	0.878439
Sample_16	0.239505	0.760495
Sample_160	0.203176	0.796824
Sample_161	0.200248	0.799752
Sample_162	0.188181	0.811819
Sample_163	0.190816	0.809184
Sample_164	0.193321	0.806679
Sample_165	0.215194	0.784806
Sample_166	0.196919	0.803081
Sample_167	0.192095	0.807905
Sample_168	0.165222	0.834778
Sample_169	0.209520	0.790480
Sample_17	0.231367	0.768633
Sample_170	0.223036	0.776964
Sample_171	0.193866	0.806134
Sample_172	0.189969	0.810031
Sample_173	0.135341	0.864659
Sample_174	0.171993	0.828007
Sample_175	0.209907	0.790093
Sample_176	0.196227	0.803773
Sample_177	0.259666	0.740334
Sample_178	0.212837	0.787163
Sample_179	0.211209	0.788791
Sample_18	0.206563	0.793437
Sample_180	0.236725	0.763275
Sample_181	0.207349	0.792651
Sample_182	0.160277	0.839723
Sample_183	0.211952	0.788048
Sample_184	0.242181	0.757819
Sample_185	0.183557	0.816443
Sample_186	0.150200	0.849800
Sample_187	0.168316	0.831684
Sample_188	0.150841	0.849159
Sample_189	0.216108	0.783892
Sample_19	0.212311	0.787689
Sample_190	0.169072	0.830928
Sample_191	0.191330	0.808670
Sample_192	0.222342	0.777658
Sample_193	0.198306	0.801694
Sample_194	0.166445	0.833555
