phase,population,method,interpolation_method,overall_accuracy,mcc,n_variants,n_samples,n_labels,per_ancestry_accuracy_CEU,per_ancestry_accuracy_PUR,per_ancestry_accuracy_YRI,precision_CEU,recall_CEU,f1_CEU,precision_PUR,recall_PUR,f1_PUR,precision_YRI,recall_YRI,f1_YRI,mean_segment_accuracy,median_segment_accuracy,mean_tract_length_bp,median_tract_length_bp,n_segments,switch_error_rate,n_true_switches,n_predicted_switches
phased,three_populations,linear,linear,0.5001564951544315,0.40970536126014845,865161,100,3,0.4911323398256768,0.6384183892443283,0.5035224806213605,,,,,,,,,,0.35993953694145403,0.0,4627670.444444444,1789803.0,9,1.0,8,3
phased,three_populations,nearest,nearest,0.5001564475093242,0.4097052923900441,865161,100,3,0.49113218685017235,0.6384183892443283,0.5035224894863753,,,,,,,,,,0.35993953694145403,0.0,4627670.444444444,1789803.0,9,1.0,8,3
phased,three_populations,stepwise,stepwise,0.5001562808119934,0.40970495238904386,865161,100,3,0.49113183394216336,0.6384177689500838,0.5035224154361722,,,,,,,,,,0.3599477297678153,0.0,4627670.444444444,1789803.0,9,1.0,8,3
phased,two_populations,linear,linear,0.6643232094065401,0.408822880278134,948789,500,2,0.9055213363739614,,0.6030378259091038,,,,,,,,,,0.3333333333333333,0.0,13883610.0,2955147.0,3,1.0,2,75016
phased,two_populations,nearest,nearest,0.6643233298572779,0.4088158499937546,948789,500,2,0.9055021387798567,,0.603039160107149,,,,,,,,,,0.3333333333333333,0.0,13883610.0,2955147.0,3,1.0,2,75016
phased,two_populations,stepwise,stepwise,0.664330895684305,0.4088318818083151,948789,500,2,0.9055133860684552,,0.6030443835673481,,,,,,,,,,0.3333333333333333,0.0,13883610.0,2955147.0,3,1.0,2,75016
unphased,three_populations,linear,linear,0.9269701527066078,0.8448982084609941,865161,100,3,0.908399614277071,0.44912980574019407,0.9468206842045608,,,,,,,,,,0.6579556652030041,0.9999849934909267,4627644.0,2873315.0,9,1.0,8,3
unphased,three_populations,nearest,nearest,0.9269701477267017,0.8448981993446141,865161,100,3,0.9083996613656955,0.44912980574019407,0.9468206495974767,,,,,,,,,,0.6579556652030041,0.9999849934909267,4627644.0,2873315.0,9,1.0,8,3
unphased,three_populations,stepwise,stepwise,0.9269697435065031,0.8448973247695575,865161,100,3,0.9083988193870793,0.4491300995155891,0.9468204859954779,,,,,,,,,,0.6579534137636721,0.9999924967454633,4627644.0,2873315.0,9,1.0,8,3
unphased,two_populations,linear,linear,0.37796366270202036,0.174038887135244,948789,500,2,0.9373328725390969,,0.23670693204123805,,,,,,,,,,0.030959219015849363,0.03552479429269092,13883593.0,4252986.0,3,1.0,2,20087
unphased,two_populations,nearest,nearest,0.37524532055564164,0.1642789829177747,948789,500,2,0.9290788333336863,,0.2353863607290402,,,,,,,,,,0.039219360565179585,0.04923104150498469,13883593.0,4252986.0,3,1.0,2,19550
unphased,two_populations,stepwise,stepwise,0.3752463429176357,0.1642715923887615,948789,500,2,0.9290689961385996,,0.23539066342328968,,,,,,,,,,0.03894340884849875,0.04908754563467625,13883593.0,4252986.0,3,1.0,2,19550
